startIP,endIP,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
3497008760,3497008760,,,malware,,,,,
2967281784,2967281784,,,malware,,,,,
3625116821,3625116821,,,malware,,,,,
3035333661,3035333661,,,malware,,,,,
3638810376,3638810376,,,malware,,,,,
1500492059,1500492059,,,malware,,,,,
3162826570,3162826570,,,malware,,,,,
1505354767,1505354767,,,malware,,,,,
1048202221,1048202221,,,malware,,,,,
1582093488,1582093488,,,malware,,,,,
1601078740,1601078740,,,malware,,,,,
1180062658,1180062658,,,malware,,,,,
1209192039,1209192039,,,malware,,,,,
3584987076,3584987076,,,malware,,,,,
3585745202,3585745202,,,malware,,,,,
3109793719,3109793719,,,malware,,,,,
773729575,773729575,,,malware,,,,,
3399329176,3399329176,,,malware,,,,,
1055488331,1055488331,,,malware,,,,,
3233369665,3233369665,,,malware,,,,,
1539670232,1539670232,,,malware,,,,,
2987500396,2987500396,,,malware,,,,,
1540465592,1540465592,,,malware,,,,,
1170573107,1170573107,,,malware,,,,,
3365228000,3365228000,,,malware,,,,,
3642700042,3642700042,,,malware,,,,,
1161835086,1161835086,,,malware,,,,,
1064256265,1064256265,,,malware,,,,,
3233476677,3233476677,,,malware,,,,,
2996226691,2996226691,,,malware,,,,,
92763076,92763076,,,malware,,,,,
3360433245,3360433245,,,malware,,,,,
1652695042,1652695042,,,malware,,,,,
1426975898,1426975898,,,malware,,,,,
1071846025,1071846025,,,malware,,,,,
3551258583,3551258583,,,malware,,,,,
1652796417,1652796417,,,malware,,,,,
3107303700,3107303700,,,malware,,,,,
1317834405,1317834405,,,malware,,,,,
3498282242,3498282242,,,malware,,,,,
773772471,773772471,,,malware,,,,,
1539603515,1539603515,,,malware,,,,,
1547481588,1547481588,,,malware,,,,,
3234359687,3234359687,,,malware,,,,,
2731720709,2731720709,,,malware,,,,,
3546614833,3546614833,,,malware,,,,,
1255985073,1255985073,,,malware,,,,,
3633816629,3633816629,,,malware,,,,,
3195206731,3195206731,,,malware,,,,,
1033063257,1033063257,,,malware,,,,,
1581880460,1581880460,,,malware,,,,,
1245662226,1245662226,,,malware,,,,,
1539062678,1539062678,,,malware,,,,,
2959610520,2959610520,,,malware,,,,,
3626842774,3626842774,,,malware,,,,,
1138547179,1138547179,,,malware,,,,,
1032551951,1032551951,,,malware,,,,,
787746054,787746054,,,malware,,,,,
3323408546,3323408546,,,malware,,,,,
2928534675,2928534675,,,malware,,,,,
1539133511,1539133511,,,malware,,,,,
1385310850,1385310850,,,malware,,,,,
3323674691,3323674691,,,malware,,,,,
1138989252,1138989252,,,malware,,,,,
92763075,92763075,,,malware,,,,,
3629203648,3629203648,,,malware,,,,,
1086263333,1086263333,,,malware,,,,,
788319745,788319745,,,malware,,,,,
3237906819,3237906819,,,malware,,,,,
3356357877,3356357877,,,malware,,,,,
1315873352,1315873352,,,malware,,,,,
3158395554,3158395554,,,malware,,,,,
1434499949,1434499949,,,malware,,,,,
1045180172,1045180172,,,malware,,,,,
3507076226,3507076226,,,malware,,,,,
1652344577,1652344577,,,malware,,,,,
3000186129,3000186129,,,malware,,,,,
3359273523,3359273523,,,malware,,,,,
3645522615,3645522615,,,malware,,,,,
1746669416,1746669416,,,malware,,,,,
1868361075,1868361075,,,malware,,,,,
1435490231,1435490231,,,malware,,,,,
1540584729,1540584729,,,malware,,,,,
